Sub-luminal Engine,Cost,Size,CPU,Space,Power,Fuel Eff
Newline-Silverwide Systems SL-1 Liquid Fuel Rocket,1,S,1.1,6.05,11,0.5
Newline-Silverwide Systems SL-2 Liquid Fuel Rocket,3,S,1.3,8.45,13,0.5
Turner-Koga Inc ML-1 Liquid Fuel Rocket,3,M,1.7,14.45,17,0.5
Turner-Koga Inc ML-2 Liquid Fuel Rocket,7,M,2.5,31.25,25,0.6
SunCo Livestock LL-2 Liquid Fuel Rocket,14,L,3,45,30,0.6
SunCo Livestock LL-1 Liquid Fuel Rocket,6,L,3.5,61.25,35,0.5
Carter Psitech EL-1 Liquid Fuel Rocket,14,E,5,125,50,0.5
Highlight Robotics GL-1 Liquid Fuel Rocket,30,G,6.9,238.05,69,0.5
Carter Psitech EL-2 Liquid Fuel Rocket,30,E,7.1,252.05,71,0.7
Highlight Robotics GL-2 Liquid Fuel Rocket,70,G,9.9,490.05,99,0.5
,,,,,,
Ion Engines,Cost,Size,CPU,Space,Power,Fuel Eff
Satellite Concepts SI-1 Ion Engine,5,S,0.7,2.45,7,1.4
Satellite Concepts SI-2 Ion Engine,8,S,1.1,6.05,11,1.4
Oshiro Shipping MI-1 Ion Engine,11,M,1.8,16.2,18,1.4
Oshiro Shipping MI-2 Ion Engine,25,M,2.1,22.05,21,1.6
DeltaLight products LI-1 Ion Engine,22,L,2.6,33.8,26,1.4
DeltaLight products LI-2 Ion Engine,41,L,3.2,51.2,32,1.4
Sunbeam Technologies EI-1 Ion Engine,38,E,3.8,72.2,38,1.4
Sunbeam Technologies EI-2 Ion Engine,73,E,4.9,120.05,49,1.4
WayDyne Incorporated GI-1 Ion Engine,80,G,5.3,140.45,53,1.4
WayDyne Incorporated GI-2 Ion Engine,132,G,9.6,460.8,96,1.6
Cygnus Spaceworks Germon-4 Ion Engine,350,C,3.8,980,140,0.9
KDY Destroyer-I Ion Engine,480,C,4.5,4205,290,0.7
,,,,,,
Fusion Reactors,Cost,Size,CPU,Space,Power,Fuel Eff
Star Corporation SF-1 Fusion Reactor,7,S,1.2,7.2,12,1.2
Star Corporation SF-2 Fusion Reactor,11,S,1.9,18.05,19,1.2
WarpCo Alliance MF-1 Fusion Reactor,11,M,3.3,54.45,33,1.2
Panwatch Metallurgy GS-1 Solar Sail,19,G,3.5,61.25,35,1
WarpCo Alliance MF-2 Fusion Reactor,25,M,3.7,68.45,37,1.3
Narita-Guo Union LF-2 Fusion Reactor,51,L,4.5,101.25,45,1.4
Narita-Guo Union LF-1 Fusion Reactor,26,L,5.3,140.45,53,1.2
OmniDyne Lines EF-1 Fusion Reactor,55,E,8.2,336.2,82,1.2
OmniDyne Lines EF-1 Fusion Reactor,94,E,9.2,423.2,92,1.4
Sun Technologies GF-1 Fusion Reactor,134,G,10.5,551.25,105,1.2
Sun Technologies GF-2 Fusion Reactor,292,G,17.4,1513.8,174,1.2
,,,,,,
Solar Sails,Cost,Size,CPU,Space,Power,Fuel Eff
Comet Lines SS-1 Solar Sail,1,S,0.3,0.45,3,1
Panlight Universal MS-1 Solar Sail,2,M,0.7,2.45,7,1
Stellar Products LS-1 Solar Sail,3,L,1.2,7.2,12,1
Du-Bobrikov Company ES-1 Solar Sail,7,E,1.9,18.05,19,1
Panwatch Metallurgy GS-1 Solar Sail,19,G,3.5,61.25,35,1
,,,,,,
Other,Cost,Size,CPU,Space,Power,Fuel Eff
Girodyne SRB42 Sublight Engine,5,S,1.3,1.8,6,1
,,,,,,
,,,,,,
FASA TREK IMPULSE ENGINES,Cost,Size,CPU,Space,Power,Fuel Eff
Smith & Smythe Motor Works Ltd FIA-1 Impulse Engine,1,,1,3,10,1
Smith & Smythe Motor Works Ltd FIA-2 Impulse Engine,1,,2,3,20,1
Smith & Smythe Motor Works Ltd FIA-3 Impulse Engine,2,,3,3,30,1
Smith & Smythe Motor Works Ltd FIB-1 Impulse Engine,1,,2,4,20,1
Smith & Smythe Motor Works Ltd FIB-2 Impulse Engine,2,,4,4,40,1
Smith & Smythe Motor Works Ltd FIB-3 Impulse Engine,3,,6,4,60,1
Kloratis Drives FIC-1 Impulse Engine,1,,1,5,10,1
Kloratis Drives FIC-2 Impulse Engine,2,,3,5,30,1
Kloratis Drives FIC-3 Impulse Engine,3,,6,5,60,1
Smith & Smythe Motor Works Ltd FID-1 Impulse Engine,2,,2,6,20,1
Smith & Smythe Motor Works Ltd FID-2 Impulse Engine,3,,4,6,40,1
Smith & Smythe Motor Works Ltd FID-3 Impulse Engine,4,,8,6,80,1
Kloratis Drives FIE-1 Impulse Engine,3,,4,7,40,1
Kloratis Drives FIE-2 Impulse Engine,4,,8,7,80,1
Kloratis Drives FIE-3 Impulse Engine,5,,16,7,160,1
Smith & Smythe Motor Works Ltd FIF-1 Impulse Engine,4,,12,9,120,1
Smith & Smythe Motor Works Ltd FIF-2 Impulse Engine,5,,16,9,160,1
Smith & Smythe Motor Works Ltd FIF-3 Impulse Engine,7,,20,9,200,1
Kloratis Drives FIG-1 Impulse Engine,10,,24,11,240,1
Kloratis Drives FIG-2 Impulse Engine,18,,32,11,320,1
Kloratis Drives FIG-3 Impulse Engine,34,,40,11,400,1
Smith & Smythe Motor Works Ltd FMIA Micro Impulse Engine,1,,1,0.1,10,1
Klingon Empire KIA-1,17,,1,4,10,1
Klingon Empire KIA-2,28,,2,4,20,1
Klingon Empire KIA-3,40,,3,4,30,1
Klingon Empire KIB-1,34,,3,6.5,30,1
Klingon Empire KIB-2,38,,2,6.5,20,1
Klingon Empire KIC-1,41,,2,11,20,1
Klingon Empire KIC-2,50,,4,11,40,1
Klingon Empire KIC-3,68,,5,11,50,1
Klingon Empire KIC-4,97,,8,11,80,1
Klingon Empire KID-1,79,,6,14,60,1
Klingon Empire KID-2,62,,4,14,40,1
Klingon Empire KIE-1,94,,6,17,60,1
